group,condition,Subject,phase,trial,target,hand_angle,cursor_error,movement_time,reaction_time,peak_velocity,rot_direction,rot
0,0,2,Base,135,150,-14.8,-14.8,0.919492,0.810223,0.232251,CCW,0
0,0,2,Base,191,150,-2.6,-2.6,0.859856,0.891982,0.301285,CCW,0
0,0,2,Base,27,150,5.39,5.39,0.661189,0.441802,0.136394,CCW,0
0,0,2,Base,21,-30,-3.52,-3.52,1.02183,0.477774,0.233715,CCW,0
0,0,2,Base,144,-30,-6.64,-6.64,0.659889,0.520941,0.00231305,CCW,0
0,0,2,Base,193,-30,-6.73,-6.73,0.845278,0.232106,0.154693,CCW,0
0,0,2,Base,79,-30,-0.981,-0.981,0.939687,0.39829,0.205505,CCW,0
0,0,2,Base,45,-30,-3.86,-3.86,0.802995,0.391163,0.149948,CCW,0
0,0,2,Base,83,-30,-3.9,-3.9,1.20119,0.317051,0.128482,CCW,0
0,0,2,Base,98,-30,7.12,7.12,1.04848,0.227354,0.0329144,CCW,0
0,0,2,Base,105,-30,10.2,10.2,0.792322,0.2437,0.11274,CCW,0
0,0,2,Base,29,-30,-4.81,-4.81,0.965294,0.390214,0.262941,CCW,0
0,0,2,Base,143,-30,0.477,0.477,1.11676,0.330472,0.168581,CCW,0
0,0,2,Base,88,-30,-9.85,-9.85,0.949447,0.732544,0.144445,CCW,0
0,0,2,Base,67,-30,-5.39,-5.39,1.0081,0.31826,0.0918993,CCW,0
0,0,2,Base,187,-60,-10.4,-10.4,0.81319,0.483099,0.0143674,CCW,0
0,0,2,Base,50,-60,-5.18,-5.18,0.805312,0.432587,0.0673242,CCW,0
0,0,2,Base,122,-60,3.61,3.61,0.857231,0.590408,0.0400898,CCW,0
0,0,2,Base,46,-60,-10.9,-10.9,0.98365,0.389276,0.173642,CCW,0
0,0,2,Base,33,-60,-9.26,-9.26,1.11389,0.316971,0.171181,CCW,0
0,0,2,Base,66,-60,4.14,4.14,0.832944,0.0310476,0.0472084,CCW,0
0,0,2,Base,162,-60,-7.81,-7.81,1.2495,0.414747,0.0492508,CCW,0
0,0,2,Base,184,-60,-11.7,-11.7,1.06811,0.483657,0.149141,CCW,0
0,0,2,Base,194,-60,2.3,2.3,1.13402,0.742532,0.318193,CCW,0
0,0,2,Base,149,-60,-6.53,-6.53,0.716048,0.586723,0.0113469,CCW,0
0,0,2,Base,189,-60,-8.15,-8.15,0.55493,0.652729,0.0300865,CCW,0
0,0,2,Base,36,-60,-5.62,-5.62,0.964405,0.413526,0.112042,CCW,0
0,0,2,Base,177,-90,-2.44,-2.44,0.549085,0.288834,0.132217,CCW,0
0,0,2,Base,174,-90,-0.653,-0.653,0.793618,0.737837,0.169358,CCW,0
0,0,2,Base,49,-90,-3.55,-3.55,1.1717,0.391147,0.136363,CCW,0
0,0,2,Base,167,-90,-2.07,-2.07,0.834913,0.426856,0.121653,CCW,0
0,0,2,Base,102,-90,-3.63,-3.63,1.09644,0.368584,0.160046,CCW,0
0,0,2,Base,54,-90,-20,-20,1.01663,0.351561,0.210646,CCW,0
0,0,2,Base,133,-90,6.79,6.79,0.788808,0.774859,0.0500547,CCW,0
0,0,2,Base,20,-90,9.64,9.64,1.26582,0.301853,0.0982931,CCW,0
0,0,2,Base,151,-90,-3.62,-3.62,1.06824,0.699029,0.0713981,CCW,0
0,0,2,Base,89,-90,-11.8,-11.8,1.07378,0.427801,0.16242,CCW,0
0,0,2,Base,188,-90,-12.7,-12.7,0.729455,0.441444,0.236187,CCW,0
0,0,2,Base,41,-90,-4.62,-4.62,0.779341,0.482544,0.0602929,CCW,0
0,0,2,Base,11,-120,-11.9,-11.9,0.74191,0.435572,0.181605,CCW,0
0,0,2,Base,59,-120,-7.07,-7.07,0.806747,0.47423,0.209086,CCW,0
0,0,2,Base,74,-120,-16.4,-16.4,0.647834,0.0231147,0.0152777,CCW,0
0,0,2,Base,44,-120,1.27,1.27,0.787723,0.602065,0.0634141,CCW,0
0,0,2,Base,101,-120,-7.06,-7.06,0.985797,0.0625066,0.216021,CCW,0
0,0,2,Base,55,-120,-0.459,-0.459,1.20087,0.504193,0.0989002,CCW,0
0,0,2,Base,77,-120,-4.66,-4.66,0.687291,0.458758,0.111437,CCW,0
0,0,2,Base,19,-120,-1.63,-1.63,0.967896,0.499625,0.15662,CCW,0
0,0,2,Base,120,-120,0.321,0.321,1.00173,0.75107,0.161493,CCW,0
